id,title,company,location,link,image_url,skills
1,YouTube Operations Internship in Mumbai at Zee Entertainment,Zee Entertainment Enterprises Limited,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/youtube-operations-internship-in-mumbai-at-zee-entertainment-at-zee-entertainment-enterprises-limited-3724567083?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=vQ%2FyGuSZ0Sh7x98SeOEv2Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Video editing, Content management, Social media, Analytics, Communication"
2,Engineer – Dams and Reservoirs,Atkins,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/engineer-%E2%80%93-dams-and-reservoirs-at-atkins-3726204984?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=X0vgesHogqEVLtbZ5MeHNA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Civil engineering, Structural analysis, Hydrology, AutoCAD, Project management"
3,Recruitment & Selection Internship in Pune at FirstCry.com,FirstCry.com (BrainBees Solutions Pvt. Ltd.),"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/recruitment-selection-internship-in-pune-at-firstcry-com-at-firstcry-com-brainbees-solutions-pvt-ltd-3720964421?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=c%2BxeppIioD8BN1f741oJOQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Recruitment, Human resources, Interviewing, Talent acquisition, Communication"
4,Subsidy - Chennai,On Time Solutions,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/subsidy-chennai-at-on-time-solutions-3727955997?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=JaZ79ywB2JbH05mBtEkYqA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Financial analysis, Subsidy programs, Data analysis, Research, Report writing"
5,Wildcraft - Category Lead,Wildcraft India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/wildcraft-category-lead-at-wildcraft-india-3727911061?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=%2BlOuhCuLi7hfIbLG4ZuRFA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D560BAQEe2kg48BiyWQ/company-logo_100_100/0/1689764246633?e=2147483647&v=beta&t=vpiyjcrg1p4ZeAVC90aGkNK_699JjhQKLYuOm009wBg,"Category management, Merchandising, E-commerce, Marketing, Data analysis"
6,Assistant Manager - Product Marketing,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/assistant-manager-product-marketing-at-swiggy-3728388503?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=aYZkp4uMp0aR1QDjOiDyAA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D4D0BAQFBpNQ49Il0rg/company-logo_100_100/0/1688628769213/swiggy_in_logo?e=2147483647&v=beta&t=Pt8lsXqAJOzbqWIhmxPRoPUDSQZLtkcsdX9Q788K8w8,"Product marketing, Marketing strategy, Market analysis, Brand management, Data analysis"
7,Engineer - Civil Infrastructure,SgurrEnergy,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/engineer-civil-infrastructure-at-sgurrenergy-3720553908?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=JynQ6fU1IGK5GD%2Fhf63%2FQw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C510BAQFX40e_7TYP2Q/company-logo_100_100/0/1529570196587?e=2147483647&v=beta&t=wX2bFiYmHfXPUm8i2zTPDrpFN4a1205MgyBUXAgZNUI,"Civil engineering, Infrastructure design, Structural analysis, AutoCAD, Project management"
8,Happilo International - Factory Head,Happilo,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/happilo-international-factory-head-at-happilo-3717996961?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=G1sTsfGI8xoO99ACiON7OA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C560BAQFcD7QWfoGmkw/company-logo_100_100/0/1673431928403?e=2147483647&v=beta&t=jk0sq2WOn-NNiR_6hzUccPf7Y2-mJ4a_3RLo-TutcWU,"Factory management, Operations, Supply chain, Manufacturing, Leadership"
9,Site Management Internship in Multiple locations at HungerBox,HungerBox,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/site-management-internship-in-multiple-locations-at-hungerbox-at-hungerbox-3722051748?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=1wk4vybGkrFwsFTq4FftEg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C560BAQGjo1gBHfi0tQ/company-logo_100_100/0/1679014731521?e=2147483647&v=beta&t=0RQl-DD0_FfRaik8i9B9CFGTiKvKFpo9pLfyL9qFEMM,"Site management, Operations, Vendor coordination, Inventory management, Communication"
10,Digital Marketing Internship in Mumbai at Audi Mumbai West,Audi Mumbai West,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/digital-marketing-internship-in-mumbai-at-audi-mumbai-west-at-audi-mumbai-west-3728636114?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=m7Juq24oUfmfXsCnAAjPhw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C560BAQETvdI0Rq6vIQ/company-logo_100_100/0/1641446424818?e=2147483647&v=beta&t=QesIVlPWqmxj-xp97D6C5mvyfA-F6WpgAC1F0ou6qJM,"Digital marketing, Social media management, Content creation, Analytics, SEO"
11,Talent Acquisition Operations Manager,NxtWave,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/talent-acquisition-operations-manager-at-nxtwave-3726240995?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=KaEbc9koLHD9UkGIdScTow%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C560BAQFzaJNs-JSe4w/company-logo_100_100/0/1648218851127?e=2147483647&v=beta&t=f4TOpz-E_xpSSJ32j3QCli9c6W47iGi4z3ZQEXFcmW8,"Talent acquisition, Recruitment, Operations management, HR, Communication"
12,Assistant Manager - Category Operations,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/assistant-manager-category-operations-at-swiggy-3729462223?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=y5KLARfG9gzbp9G82yObeg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D4D0BAQFBpNQ49Il0rg/company-logo_100_100/0/1688628769213/swiggy_in_logo?e=2147483647&v=beta&t=Pt8lsXqAJOzbqWIhmxPRoPUDSQZLtkcsdX9Q788K8w8,"Category operations, Supply chain management, Data analysis, Operations strategy, Leadership"
13,MySQL,Fusion Plus Solutions Inc,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/mysql-at-fusion-plus-solutions-inc-3725546461?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=rulD7PhhpRlkl6Dhgyl5xw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C4D0BAQGRIzX74nkdQQ/company-logo_100_100/0/1519909216534?e=2147483647&v=beta&t=kTQIVPhoi14OrT4VSJp9YA8D_9mcSyZgkAbKvENSCLI,"MySQL database administration, SQL, Database management, Data modeling, Troubleshooting"
14,HR Ops Executive - PPSL,Paytm,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/hr-ops-executive-ppsl-at-paytm-3724337934?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=6sTGuiO4NBlqHGuEJu94kQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D4D0BAQHjRyMZ-FVJhg/company-logo_100_100/0/1692711640012?e=2147483647&v=beta&t=4hB0lPEeWDs0yXqm098B28cfGgqE2XEv6k_yiHLGOog,"HR operations, Payroll processing, Employee management, HRIS, Compliance"
15,Content Associate,LexiConn Content,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/content-associate-at-lexiconn-content-3719638981?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=axKG1pv8hE8F3zP3a9hMFA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C4D0BAQHlrn3x4zTHbg/company-logo_100_100/0/1676293088570?e=2147483647&v=beta&t=h4tB67Y8WXGVJOF4M2lWCaqIcA0pM81Y10zFd3QdwNQ,"Content writing, Editing, Content management, SEO, Writing skills"
16,Instock Manager,Swiggy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/instock-manager-at-swiggy-3721043784?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=6F%2FAdGGvq4pt8YlJo9BZow%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D4D0BAQFBpNQ49Il0rg/company-logo_100_100/0/1688628769213/swiggy_in_logo?e=2147483647&v=beta&t=Pt8lsXqAJOzbqWIhmxPRoPUDSQZLtkcsdX9Q788K8w8,"Inventory management, Supply chain, Data analysis, Operations, Communication"
17,Receptionist,Cosmos Immigration,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/receptionist-at-cosmos-immigration-3728192037?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=roUw%2FNPxIzXdwFdH9jTF3Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C4E0BAQFZrNLMyO5HRw/company-logo_100_100/0/1519907349232?e=2147483647&v=beta&t=eMlngxZPvMba8a2HfyQ-DAAHJPN8OaLlV7nsPtVBElM,"Receptionist duties, Customer service, Front desk operations, Communication, Multitasking"
18,Human Resources (HR) Internship in Hyderabad at Apollo Hospitals,Apollo Hospitals,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/human-resources-hr-internship-in-hyderabad-at-apollo-hospitals-at-apollo-hospitals-3728034223?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=bJi5dRZWiJK58AmcukqF1A%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/C4E0BAQEc6dfcMkz5fQ/company-logo_100_100/0/1519856055176?e=2147483647&v=beta&t=YD5zBpynuX6hWNvDVtMNu-t2bpuiQAzaLN7Sbv6glpU,"HR processes, Recruitment, Employee engagement, HRIS, Communication"
19,Account Manager,Swiggy,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/account-manager-at-swiggy-3727890108?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=NNRmWfEDjALHCqMA15DjYg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D4D0BAQFBpNQ49Il0rg/company-logo_100_100/0/1688628769213/swiggy_in_logo?e=2147483647&v=beta&t=Pt8lsXqAJOzbqWIhmxPRoPUDSQZLtkcsdX9Q788K8w8,"Account management, Sales, Client relations, Data analysis, Communication"
20,Principal Engineer – Dams & Reservoirs,Atkins,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/principal-engineer-%E2%80%93-dams-reservoirs-at-atkins-3726210262?refId=765qV1Gur920HfdafZEI%2Fw%3D%3D&trackingId=Hc9pMI2M4XmjVvVdXRi0%2Fw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,https://media.licdn.com/dms/image/D4E0BAQHMxIX6VBAkUw/company-logo_100_100/0/1695318071932?e=2147483647&v=beta&t=vkXHhhaZweQjCKsy1U3pEi0wlpqugZo5MRvHyTOM_So,"Civil engineering, Structural analysis, Dams and reservoirs design, Project management, AutoCAD"
